Sequence,Active
DKWL,0
FCHN,0
KDQP,0
FNWI,0
NKRM,0
IWHA,0
GEFV,0
KARS,0
IMGW,0
KYRK,0
FNPR,0
VASH,0
RVAV,0
EMAK,0
QKQR,0
LCVG,0
FQST,0
MHRI,0
MMGW,0
AVAL,0
MAFD,0
MDRL,0
NDRY,0
YCYM,0
NGEQ,0
YTWA,0
VELN,0
HKRA,0
PWVH,0
IRHR,0
EHDV,0
AGPW,0
VHAK,0
LHYL,0
ERYP,0
QSWF,0
QWCM,0
KCED,0
TPHD,0
RYLW,0
VWRC,0
DEMD,0
AKMQ,0
RTLD,0
GIGG,0
ITDN,0
KCGD,0
KDLT,0
SIDF,0
KEFA,0
KPSM,0
INET,0
EGVC,0
GYPG,0
LIHT,0
AGWL,0
WNHW,0
SLWT,0
INFP,0
ALMC,0
HQPY,0
SKYC,0
GIPG,0
CNML,0
EHWY,0
VVWW,0
FCTE,0
AVIC,0
HRNI,0
DHEV,0
EWYV,0
VCIY,0
PYWM,0
NFCP,0
MKHH,0
QYDH,0
IADN,0
IHGS,1
GNPE,0
SFQD,0
IPVH,0
WTWG,0
DDMD,0
PIHF,0
SDYV,0
VVCQ,0
MAQG,0
HNRV,0
TQRN,0
RIRY,0
VYEE,0
KSYG,1
MKNS,0
SFQH,0
FMYR,0
YPQS,0
ADFP,0
HCPP,0
WVNG,0
QGSY,0
CDRQ,0
SLYA,0
LCLA,1
CFNL,0
DQEY,0
PSLL,0
MGAF,0
ICSR,0
ELTG,0
CPTG,0
CEIW,0
QSCM,0
RSAG,0
WCPC,0
DFKG,0
HYSI,0
FDNC,0
YLTE,0
YNNF,0
KCVS,0
VDSE,0
AQSI,0
YYCV,1
GPWT,0
LVQE,0
QCMP,0
EVPM,0
HLDD,0
TCKH,0
TRWN,0
YEDG,0
PGLN,0
NNTQ,0
CTNT,0
MRML,0
MDFE,0
SKDT,0
IHYH,0
KYET,0
IWTS,0
KRNY,0
NKNH,0
RQWG,0
DAVR,0
AEIS,0
GVRD,0
WTPC,0
SMCP,0
AQNL,0
EAPV,0
HKAT,0
FQQI,0
QMAI,0
NMWQ,0
MFIY,0
WALF,0
KFKL,0
WYDV,0
TTQN,0
DKSP,0
AEDR,0
NPAC,0
HFWF,0
PEER,0
VVGS,1
PKPY,0
KHHY,0
IPHH,0
FITR,0
INYY,0
AFES,0
NGPW,0
WGWR,0
WWER,0
WWRG,0
FIHI,0
NYFN,0
AAAW,0
QKWT,0
MWWG,0
QDEK,0
LNWG,0
TYII,0
LFFR,0
IVLF,0
MWIM,0
QPQL,0
SRRK,0
LDCF,0
YQEM,0
VVSH,0
IVVR,0
ILFR,0
WWKN,0
KCVV,0
FGWD,0
CANW,0
CPYS,0
SMLG,0
SIFY,0
YCTH,0
SFVK,0
TEAD,0
FFPD,0
SPYK,0
ESQG,0
AHML,0
KGWF,0
EFPT,0
QCAK,0
LGYF,0
AHNW,0
INLM,0
DAWP,0
FRFK,0
WNQC,0
IKMF,0
IYTD,0
MAFM,0
ENPL,0
MQHY,0
KWLT,0
MGVF,0
TPGI,0
HNTF,0
GALR,0
VELW,0
FILP,0
HNMS,0
KRVG,0
VYAL,1
IFGT,1
CING,0
MRQY,0
IVLK,0
